DOW,area.hectares,max_depth_m,mean.gdd,proportion_disturbed_ws,littoral.zone,secchi.m,blackbullhead,blackcrappie,bowfin,brownbullhead,commoncarp,goldenshiner,greensunfish,largemouthbass,northernpike,rockbass,smallmouthbass,walleye,whitesucker,yellowbullhead,yellowperch,Lepomis,coldwater
2004500,23.50820974,7.62,2884.341519,0.464221454,0.574917367,0.8,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
2005300,62.57659618,6.7056,2667.672773,0.395879871,1,2.6,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0
2007501,11.1693336,6.7056,2879.331401,0.805291251,0.904040271,1.6,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0
2008400,47.8743538,7.9248,2886.29723,0.668711656,0.875194314,1.98,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
2009100,197.3694091,9.7536,2687.124746,0.286415908,0.886942592,2.45,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0
2013300,37.22706514,20.7264,2653.204713,0.380128523,0.854718269,3.6,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
2058500,5.2811523,4.572,2900.028305,0.778703002,NA,1.85,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
2065400,11.56997274,10.9728,NA,0.080851064,NA,2.4,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
3001000,190.7851678,19.2024,2324.397543,0.475943674,0.537530713,2.59,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
3001700,233.9004143,18.288,2375.683096,0.077170485,0.513742544,2.48875,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
3002900,56.53058734,6.4008,2300.091066,0.051594504,1,3.7,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0
3003000,152.8215742,33.2232,2296.514612,0.239562624,0.65602645,5.945,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3008500,301.7662565,25.6032,2196.871029,0.020394178,0.889787476,6.95,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
3008800,82.62069376,8.5344,2279.423523,0.019833801,1,3.68,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0
3010100,590.7727634,4.8768,2369.489361,0.175075783,1,2.13,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
3010200,1273.672295,4.8768,2348.695561,0.257544037,0.99002382,1.7603,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
3010700,694.5099726,8.8392,2389.647686,0.164441478,0.734193282,2.91125,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
3013600,165.7593856,23.7744,2143.473892,0.009615384,0.979111315,6.1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0
3015300,477.3190433,11.5824,2330.443751,0.060744611,0.962669083,3.66,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
3015500,442.7993275,21.0312,2284.389087,0.016908609,0.741755407,3.81,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
3015800,688.3304174,28.0416,2322.757918,0.016564966,0.555002831,3.125,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3015900,398.6278506,23.1648,2343.690221,0.017764033,0.56971766,3.505,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3016600,97.45648252,18.288,2240.713403,0.2763178,0.894712352,3,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
3018900,163.7440493,19.812,2382.289392,0.38531481,0.655794274,3.05,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
3019500,1533.557597,6.4008,2332.689291,0.036526499,0.908453722,1.68,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3021300,93.79812108,4.2672,2440.113134,0.023416228,0.793890606,1.4,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
3023400,118.5244357,17.6784,2343.690221,0.017820151,0.587921468,3.48332,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3024102,583.6786178,5.1816,2278.367738,0.043913077,NA,1.5,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
3025800,62.20833192,16.764,2539.204165,0.322535211,0.764560695,3.4812,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
3028600,721.5956066,8.5344,2395.394903,0.154438187,0.998533332,3.1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3028700,145.9419122,22.5552,2377.706091,0.197031598,0.982728026,4.42,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0
3029300,483.8061599,5.4864,2411.590756,0.102235675,0.997940589,1.83,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
3030400,174.2375573,12.8016,2430.369907,0.047106422,1,5.208333333,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0
3031300,89.24540358,8.8392,2398.254468,0.087524752,0.988304723,3.525,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
3032300,594.1195166,12.192,2302.788398,0.049704273,1,5.33,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
3032800,804.8799854,36.576,2394.46193,0.051767301,0.716761604,4.024,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3035000,166.7549132,11.5824,2389.382372,0.128532343,0.803616586,2.9725,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
3035500,72.83538628,11.8872,2556.312978,0.364788233,0.738658899,2.6,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0
3035700,54.16317424,7.9248,2505.053539,0.459993724,1,3.2,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0
3035900,515.1248094,15.24,2530.04782,0.413272439,0.472939202,1.805,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
3036000,27.16252432,5.4864,2366.333651,0.421015016,1,2.4975,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0
3037100,28.61939392,21.9456,2383.826809,0.459821428,0.714395703,4.025,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3038100,1241.216477,27.1272,2398.282983,0.396018147,0.845295255,3.1375,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
3038300,165.4073088,18.5928,2527.191083,0.456547019,0.906952054,4.1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3038600,86.71611608,10.3632,2429.717893,0.413447572,0.728444337,2.44,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3038700,476.6553582,10.3632,2354.422049,0.416402411,0.834443869,2.4384,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3047500,748.7338498,11.2776,2528.057415,0.395944031,0.697156862,2.744791667,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3048600,113.1461587,16.4592,2358.349762,0.47227738,0.80665415,2.515,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0
3050000,209.2267089,9.7536,2493.097292,0.374458747,1,3.925,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
3050300,153.1534167,9.144,2449.822349,0.398985573,1,3.66,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
3050600,431.8970866,10.3632,2603.324461,0.363855222,0.680774623,1.5,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0
3057500,210.6795316,7.9248,2493.946491,0.460332175,0.781719526,1.7644,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
3057600,1479.985264,22.86,2511.640076,0.374374068,0.873541251,5.295,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
3057900,177.106781,7.9248,2501.743336,0.514045565,0.77072546,1.6744,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0
3058200,254.9157583,6.096,2489.68776,0.456747681,1,2.545,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
3058800,375.0751254,8.8392,2552.738923,0.456478325,0.746847965,2.1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0
3060200,147.9329673,12.192,2456.70869,0.431169474,0.84884201,3.28,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
3063800,84.87884164,8.2296,2557.134271,0.501816713,0.682052542,1.615,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
3064800,75.19875252,5.7912,2621.884506,0.5508973,1,2.365,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0
3065700,75.66818828,22.2504,2454.846172,0.416832175,0.891261512,6.4025,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0
3065900,80.97362174,8.5344,2586.108426,0.481462831,0.558582866,1.75,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
4001100,243.0989271,21.6408,2333.493429,0.060924865,NA,3.4,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0
4003200,486.9424764,12.192,2356.489713,0.067068709,0.653879844,2.52,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4003400,275.3281201,34.1376,2282.313296,0.088514617,NA,3.2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4004900,1453.611878,10.668,2253.212813,0.046340582,0.978338726,3.5,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4006900,1087.091814,8.5344,2299.840807,0.230899005,0.495468334,1.83,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
4011100,704.2709989,19.2024,2357.609592,0.135725091,0.637754238,2.745,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4012000,912.825929,7.0104,2278.693993,0.139842109,0.94555026,2.515,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0
4012400,105.7565924,9.7536,2351.962478,0.02310536,NA,2.46532,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0
4013002,2663.064551,23.1648,2337.43838,0.165856593,0.346856145,2.57,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
4013202,136.3751351,5.1816,2274.292935,0.100254712,1,3.4,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0
4013400,292.2237606,7.62,2334.213326,0.14993518,1,3.35,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4013500,292.2075732,15.24,2373.982597,0.095943979,0.979067408,3.81,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
4015200,345.3792667,15.24,2371.126038,0.195294566,0.978097085,4,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4015500,188.1911306,7.62,2391.785495,0.214882391,0.726140626,2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4015900,650.0430749,13.716,2301.804556,0.202052666,0.937918589,3,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4019600,186.9325571,7.62,2395.690666,0.281274399,0.670102414,2.13,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
4023000,120.5114439,12.8016,2382.399294,0.164160126,NA,3.525,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
4033100,80.36254588,8.8392,2255.020473,0.289041619,1,3.9624,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0
4034300,404.2003768,19.812,2312.012832,0.307514168,0.399934163,2.74,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
5001300,530.3814716,5.1816,2721.863631,0.761011582,0.23465871,0.46,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
6000100,1792.030545,1.524,2925.8752,0.740696646,NA,0.2524,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
6000200,797.3204509,4.7244,2891.781345,0.69575269,0.235012882,0.6929,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0
6002000,159.7255173,3.048,2694.792795,0.713123808,NA,0.3048,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
6002900,59.57382606,4.572,2928.268075,0.756258932,0.248859019,0.4572,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0
6006000,25.7177953,3.9624,2773.563791,0.762731874,NA,0.5,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0
6012100,17.97210526,5.6388,2774.640368,0.824898197,NA,0.7239,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
6013800,176.7061419,2.7432,2882.556569,0.896847115,0.120286453,0.5298,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0
6015200,4849.667993,4.8768,2789.339627,0.74674829,0.715242122,1.6125,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
7004400,585.2407058,17.9832,3009.403475,0.712144734,0.58498797,0.8,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
7004700,35.70949264,8.5344,2997.646007,0.682894149,0.367113778,0.6,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
7005300,117.5289081,7.62,3052.961102,0.656807307,0.379922424,0.78,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
7005400,150.0413814,17.6784,2935.592332,0.645188017,0.80329223,1.07,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
7007900,549.8023527,2.7432,2944.98192,0.402910603,0.9685652,0.85344,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0
7009000,54.19150226,2.4384,2869.761759,0.329705505,1,0.8,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0
7009600,327.2371933,2.1336,3000.831185,0.605900695,0.256254539,0.285,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0
7009700,95.94295688,2.1336,3037.022856,0.518811881,NA,0.2575,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0
7009800,153.5297747,2.4384,3054.912811,0.8432992,0.124946425,0.33014,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0
8001100,101.8918411,2.4384,3030.063454,0.631702544,0.356154688,0.5,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0
8002600,726.3951826,4.8768,2975.493627,0.848808104,NA,0.61,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0
8004500,97.45648252,6.4008,2950.984558,0.616389014,0.38175743,0.91,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0
8012900,30.31907512,7.3152,NA,NA,0.476166201,1.17388,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0
9000800,126.8366861,8.5344,2448.251351,0.242775078,1,3.35,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0
9001600,51.64198046,8.2296,2239.038578,0.110779931,0.997544388,2,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
9002900,154.2946312,4.8768,2292.768899,0.130540812,1,2.9,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0
9003200,214.281237,7.62,2261.034686,0.084347979,1,3.375,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0
9003800,165.3789808,24.384,2481.016004,0.15278926,0.294881096,2.2425,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
9005700,157.422854,10.668,2434.011877,0.124169155,0.754126723,2.59,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
9006002,129.4954731,6.7056,2309.412929,0.127273187,0.892560831,2.35,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
9006700,94.97171048,14.6304,2456.634767,0.143177747,0.773185627,1.68,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
9006800,57.49374002,7.3152,2397.775582,0.217118997,1,2.6,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
10000200,119.8720401,14.9352,2925.739748,0.647346369,0.339459154,1.475,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
10000600,99.2087729,8.8392,2866.361115,0.632322393,0.612251319,1.4,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
10000700,35.04985446,6.096,2910.930817,0.515596803,0.609096767,0.91,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0
10000900,273.9521877,21.336,2758.193999,0.471763377,0.594469089,2.47,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0
10001200,44.53164744,13.716,2927.638582,0.444200877,0.71861366,2.4875,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0
10001300,35.52333708,5.1816,2942.221333,0.411385607,0.341343006,0.9,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0
10001900,67.36403156,20.1168,2838.678878,0.674181428,0.446678523,1.95,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0
10004100,109.7225152,17.6784,2733.942097,0.223051409,0.80652621,2.33,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
10004200,104.3766131,5.4864,2823.338123,0.517909288,0.540229563,0.69,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
10004400,115.1007921,25.6032,2849.135102,0.483000913,NA,1.6002,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0
10004500,67.12931368,11.2776,2873.452025,0.518269747,0.585542829,1.5375,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
10004800,65.97595858,12.4968,2849.694746,0.571869693,0.508312199,0.775,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
10005200,37.40108012,10.9728,2822.705792,0.578770412,0.493248243,1.1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0
10005300,120.0541488,12.192,2810.69099,0.553195489,0.605626864,2.515,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
10005900,1246.57452,11.2776,2854.166448,0.498238675,0.611161443,1.755,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
10008800,90.20046254,5.4864,2950.791712,0.561102832,0.474752361,1.175,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0
11002600,284.2312121,13.4112,2311.83744,0.014516612,0.982972317,3.975,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0
11004300,611.3105779,39.3192,2405.050812,0.026956617,0.327587261,3.048,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
11005900,643.5276303,33.8328,2418.683754,0.02021798,0.726854631,3.7544,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
11006200,545.0594328,28.956,2376.693174,0.030504448,0.60126524,4.8,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
11007700,295.392452,7.0104,2213.971407,0.062293357,0.987594759,2.775,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
11010500,170.5427741,21.0312,2412.958108,0.024261802,0.789749572,4.3225,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
11012000,455.4295775,24.0792,2450.304256,0.044319609,NA,3.09372,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
11012900,250.0999949,9.7536,2395.732624,0.014474983,0.740075283,2.205,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
11014200,408.2350962,35.052,2389.93031,0.057276013,0.799767657,4.58724,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
11014300,1397.032728,13.716,2426.043635,0.042364255,0.870773852,2.9125,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
11016700,587.4705256,22.5552,2397.747968,0.018177773,0.589970371,3.17654,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
11017100,496.3109573,28.956,2395.49247,0.017752773,NA,2.46888,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
11017400,173.2784515,24.6888,2408.473303,0.048014335,0.879615639,4.3,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
11017700,116.5050525,3.9624,2286.515166,0.099108548,1,3.354,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
11019000,282.3372816,3.3528,2257.081223,0.033662382,1,2.7432,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0
11019900,147.1842982,17.0688,2478.737927,0.007733051,0.94624774,3.885,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
11020000,212.2901819,14.3256,2418.855388,0.056423272,0.91154168,4.75,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
11020100,2233.72508,16.4592,2408.473303,0.04672845,NA,2.75844,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
11021800,170.834148,16.4592,2496.129563,0.192584153,0.557090761,2.685,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
11022200,100.2730971,7.9248,2496.129563,0.140879163,0.556871305,1.423333333,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
11023400,157.2650265,18.288,2419.765111,0.113005735,0.995977198,6.3,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
11024200,117.0392381,17.3736,2357.891698,0.042540936,0.865308926,4.165833333,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1
11025000,389.8380707,18.288,2409.700552,0.038802901,0.837146007,4.1525,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
11026300,115.3516974,8.8392,2350.79305,0.049894882,1,3.8675,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
11027000,62.91248556,14.6304,2464.521594,0.052911933,0.866608197,2.74,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
